filename,folder,true_mood,predicted_top1,predicted_top3,top1_confidence,correct_top1,correct_top3
adventure_1.avif,adventurous,adventurous,adventurous,"adventurous,chill_relaxed,happy_upbeat",0.9979,True,True
adventure_2.avif,adventurous,adventurous,adventurous,"adventurous,chill_relaxed,melancholic",0.9717,True,True
adventure_3.avif,adventurous,adventurous,adventurous,"adventurous,happy_upbeat,melancholic",0.9852,True,True
adventure_4.avif,adventurous,adventurous,adventurous,"adventurous,moody_dark,melancholic",0.9314,True,True
adventure_5.avif,adventurous,adventurous,adventurous,"adventurous,chill_relaxed,romantic_dreamy",0.9827,True,True
adventure_6.avif,adventurous,adventurous,adventurous,"adventurous,melancholic,moody_dark",0.9844,True,True
adventure_7.avif,adventurous,adventurous,adventurous,"adventurous,chill_relaxed,happy_upbeat",0.9973,True,True
adventure_8.avif,adventurous,adventurous,adventurous,"adventurous,ethereal,chill_relaxed",0.9874,True,True
chill_1.avif,chill_relaxed,chill_relaxed,chill_relaxed,"chill_relaxed,melancholic,romantic_dreamy",0.932,True,True
chill_2.avif,chill_relaxed,chill_relaxed,chill_relaxed,"chill_relaxed,adventurous,melancholic",0.6258,True,True
chill_3.avif,chill_relaxed,chill_relaxed,chill_relaxed,"chill_relaxed,cozy_intimate,romantic_dreamy",0.7566,True,True
chill_4.avif,chill_relaxed,chill_relaxed,chill_relaxed,"chill_relaxed,adventurous,melancholic",0.8626,True,True
chill_5.avif,chill_relaxed,chill_relaxed,chill_relaxed,"chill_relaxed,romantic_dreamy,cozy_intimate",0.8779,True,True
chill_6.avif,chill_relaxed,chill_relaxed,chill_relaxed,"chill_relaxed,melancholic,adventurous",0.9501,True,True
chill_7.avif,chill_relaxed,chill_relaxed,chill_relaxed,"chill_relaxed,cozy_intimate,nostalgic",0.6652,True,True
chill_8.avif,chill_relaxed,chill_relaxed,melancholic,"melancholic,chill_relaxed,adventurous",0.6345,False,True
cozy_1.avif,cozy_intimate,cozy_intimate,cozy_intimate,"cozy_intimate,chill_relaxed,nostalgic",0.883,True,True
cozy_2.avif,cozy_intimate,cozy_intimate,cozy_intimate,"cozy_intimate,chill_relaxed,nostalgic",0.9249,True,True
cozy_3.avif,cozy_intimate,cozy_intimate,cozy_intimate,"cozy_intimate,chill_relaxed,romantic_dreamy",0.938,True,True
cozy_4.avif,cozy_intimate,cozy_intimate,cozy_intimate,"cozy_intimate,romantic_dreamy,chill_relaxed",0.9325,True,True
cozy_5.avif,cozy_intimate,cozy_intimate,cozy_intimate,"cozy_intimate,chill_relaxed,romantic_dreamy",0.6347,True,True
