Photos evaluated: 96
Top-1 accuracy: 70.8%
Top-3 accuracy: 96.9%

Per-mood F1 scores:
  edgy_cool            F1=1.000  (n=8)
  moody_dark           F1=0.941  (n=8)
  adventurous          F1=0.889  (n=8)
  energetic_party      F1=0.824  (n=8)
  cozy_intimate        F1=0.778  (n=8)
  chill_relaxed        F1=0.667  (n=8)
  nostalgic            F1=0.667  (n=8)
  melancholic          F1=0.667  (n=8)
  ethereal             F1=0.545  (n=8)
  romantic_dreamy      F1=0.533  (n=8)
  happy_upbeat         F1=0.526  (n=8)
  fun_playful          F1=0.308  (n=8)
